week_end,race_eth,n_onedose,n_bivalent,n_2023,coverage_onedose,coverage_bivalent,coverage_2023
2021-11-13,Hispanic/Latino,270768,0,0,51.8,0,0
2021-11-13,Non-Hispanic Asian,136348,0,0,72.4,0,0
2021-11-13,Non-Hispanic Black,195667,0,0,53,0,0
2021-11-13,Non-Hispanic Other,172744,0,0,>90,0,0
2021-11-13,Non-Hispanic White,787922,0,0,69.1,0,0
2021-11-20,Hispanic/Latino,274958,0,0,52.6,0,0
2021-11-20,Non-Hispanic Asian,139391,0,0,74,0,0
2021-11-20,Non-Hispanic Black,198651,0,0,53.8,0,0
2021-11-20,Non-Hispanic Other,174703,0,0,>90,0,0
2021-11-20,Non-Hispanic White,800085,0,0,70.1,0,0
2021-11-27,Hispanic/Latino,278180,0,0,53.2,0,0
2021-11-27,Non-Hispanic Asian,141661,0,0,75.2,0,0
2021-11-27,Non-Hispanic Black,200773,0,0,54.3,0,0
2021-11-27,Non-Hispanic Other,176096,0,0,>90,0,0
2021-11-27,Non-Hispanic White,808720,0,0,70.9,0,0
2021-12-04,Hispanic/Latino,282039,0,0,53.9,0,0
2021-12-04,Non-Hispanic Asian,143946,0,0,76.4,0,0
2021-12-04,Non-Hispanic Black,203594,0,0,55.1,0,0
2021-12-04,Non-Hispanic Other,178038,0,0,>90,0,0
2021-12-04,Non-Hispanic White,819386,0,0,71.8,0,0
2021-12-11,Hispanic/Latino,286272,0,0,54.7,0,0
2021-12-11,Non-Hispanic Asian,146461,0,0,77.7,0,0
2021-12-11,Non-Hispanic Black,206460,0,0,55.9,0,0
2021-12-11,Non-Hispanic Other,179813,0,0,>90,0,0
2021-12-11,Non-Hispanic White,828656,0,0,72.6,0,0
2021-12-18,Hispanic/Latino,290509,0,0,55.5,0,0
2021-12-18,Non-Hispanic Asian,148856,0,0,79,0,0
2021-12-18,Non-Hispanic Black,209296,0,0,56.6,0,0
2021-12-18,Non-Hispanic Other,181397,0,0,>90,0,0
2021-12-18,Non-Hispanic White,837285,0,0,73.4,0,0
2021-12-25,Hispanic/Latino,293745,0,0,56.1,0,0
2021-12-25,Non-Hispanic Asian,150822,0,0,80.1,0,0
2021-12-25,Non-Hispanic Black,211906,0,0,57.4,0,0
2021-12-25,Non-Hispanic Other,183030,0,0,>90,0,0
2021-12-25,Non-Hispanic White,844659,0,0,74,0,0
2022-01-01,Hispanic/Latino,297951,0,0,57,0,0
2022-01-01,Non-Hispanic Asian,152646,0,0,81,0,0
2022-01-01,Non-Hispanic Black,214634,0,0,58.1,0,0
2022-01-01,Non-Hispanic Other,184535,0,0,>90,0,0
2022-01-01,Non-Hispanic White,851331,0,0,74.6,0,0
2022-01-08,Hispanic/Latino,305020,0,0,58.3,0,0
2022-01-08,Non-Hispanic Asian,154740,0,0,82.1,0,0
2022-01-08,Non-Hispanic Black,218538,0,0,59.1,0,0
2022-01-08,Non-Hispanic Other,186503,0,0,>90,0,0
2022-01-08,Non-Hispanic White,859342,0,0,75.3,0,0
2022-01-15,Hispanic/Latino,312071,0,0,59.7,0,0
2022-01-15,Non-Hispanic Asian,156543,0,0,83.1,0,0
2022-01-15,Non-Hispanic Black,222185,0,0,60.1,0,0
2022-01-15,Non-Hispanic Other,188281,0,0,>90,0,0
2022-01-15,Non-Hispanic White,866408,0,0,75.9,0,0
2022-01-22,Hispanic/Latino,318168,0,0,60.8,0,0
2022-01-22,Non-Hispanic Asian,157978,0,0,83.9,0,0
2022-01-22,Non-Hispanic Black,225113,0,0,60.9,0,0
2022-01-22,Non-Hispanic Other,189658,0,0,>90,0,0
2022-01-22,Non-Hispanic White,871570,0,0,76.4,0,0
2022-01-29,Hispanic/Latino,322510,0,0,61.6,0,0
2022-01-29,Non-Hispanic Asian,158980,0,0,84.4,0,0
2022-01-29,Non-Hispanic Black,227489,0,0,61.6,0,0
2022-01-29,Non-Hispanic Other,190606,0,0,>90,0,0
2022-01-29,Non-Hispanic White,875085,0,0,76.7,0,0
2022-02-05,Hispanic/Latino,325563,0,0,62.2,0,0
